Artwork,Medium,Culture,Period,Provenance,Image Location,War-Gear,Context,Wielder,Description 1,Description 2,Description 3,Description 4,Held 1,Held 2,Notes
"Durham Cathedral Library, MS A.II.17, fols. 2-102, and Cambridge, Magdelene College Pepys MS 2981 (19): Gospel Book",Illuminated Manuscript,Anglo-Saxon,675-800,"?Lindisfarne; Northumbria, Chester-le-Street, Durham",Folio 383v,Spear,V,W,ThS,LozB,n/a,n/a,Bth,Up,Short blade
"Durham Cathedral Library, MS B.II.30: Cassiodorus, Commentary on the Psalms",Illuminated Manuscript,Anglo-Saxon,700-750,"Durham, Northumbria",Folio 172v,Spear,P (H),Xtn (BF),ThS,LB,n/a,Mid,L,Up,
"London, British Library MS Cotton Vespasian, A.I: Vespasian Psalter",Illuminated Manuscript,Anglo-Saxon,700-750,"Canterbury, St Augustine's",Folio 31,Spear,R,Xtn (BF),SLS,LB,n/a,n/a,L,Up,Oath; pierces letter
"London, British Library MS Cotton Vespasian, A.I: Vespasian Psalter",Illuminated Manuscript,Anglo-Saxon,700-750,"Canterbury, St Augustine's",Folio 31,Spear,R,Xtn (BF),SLS,LB,n/a,n/a,L,Up,Oath; pierces letter
"Leningrad, Public Library Cod. Q. V. XIV. I: Paulinus of Nola, Carmina",Illuminated Manuscript,Anglo-Saxon,700-900,?Northumbria,Folio 1 (flyleaf),Sword,V,Xtn (BF),HP,CG,CG,n/a,R,Up,
"Dublin, Trinity College MS 56 (A. 4. 6): Gospels, ‘Garland of Howth’ / ‘Codex Usserianus Secundus’",Illuminated Manuscript,Anglo-Saxon,700-900,Ireland,Folio 1,Sword,P (H),W?,HP,n/v,n/v,n/a,R,Up,
"Cambridge, St. John’s College MS 59 (C.9): Southampton Psalter",Illuminated Manuscript,Anglo-Saxon,900-1100,Ireland,Folio 71v,Spear,V,Xtn (BF),ThS,LB,n/a,n/a,R,Rev,Zoomorphic terminal
"London, British Library MS Cotton Galba A.XVIII and Oxford, Bodleian Library MS Rawl. B.484, fol. 85: Æthelstan Psalter",Illuminated Manuscript,Anglo-Saxon,950-1000,"Liège; additions Winchester, Old Minster",Folio 2v,Spear,Ent,Xtn (Chr),ThS,LB,n/a,Skt,R,Up,
"Oxford, Bodleian Library MS Tanner 10 (S.C. 9830): Bede, Historia Ecclesiastica",Illuminated Manuscript,Anglo-Saxon,900-950,"Winchester, Thorney",Folio 68,Spear,V,Man,ThS,LB,n/a,n/a,L,Rev,Stylised; lge head
"Oxford, Bodleian Library MS Tanner 10 (S.C. 9830): Bede, Historia Ecclesiastica",Illuminated Manuscript,Anglo-Saxon,900-950,"Winchester, Thorney",Folio 115v,Spear,V,Man,ThS,LB,n/a,Mid,R,Up,
"London, BL MS Additional 49598: Benedictional of St. Æthelwold",Illuminated Manuscript,Anglo-Saxon,950-1000,"Winchester, Old Minster; New Minster",Folio 51v,Spear,P (H),W,SLS,LozB,Lug,n/a,n/a,Up,
